platform;slug;name;released;background_image;genre
PlayStation 5;watch-dogs-legion;Watch Dogs: Legion;29/10/2020;https://media.rawg.io/media/games/415/41563ce6cb061a210160687a4e5d39f6.jpg;Shooter, Adventure, Action
Xbox One;watch-dogs-legion;Watch Dogs: Legion;29/10/2020;https://media.rawg.io/media/games/415/41563ce6cb061a210160687a4e5d39f6.jpg;Shooter, Adventure, Action
PlayStation 4;watch-dogs-legion;Watch Dogs: Legion;29/10/2020;https://media.rawg.io/media/games/415/41563ce6cb061a210160687a4e5d39f6.jpg;Shooter, Adventure, Action
Xbox Series S/X;watch-dogs-legion;Watch Dogs: Legion;29/10/2020;https://media.rawg.io/media/games/415/41563ce6cb061a210160687a4e5d39f6.jpg;Shooter, Adventure, Action
PC;waveform;Waveform;20/03/2012;https://media.rawg.io/media/screenshots/5e9/5e996586e4fe42611462193cafbaa75e.jpg;Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie
macOS;waveform;Waveform;20/03/2012;https://media.rawg.io/media/screenshots/5e9/5e996586e4fe42611462193cafbaa75e.jpg;Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie
Linux;waveform;Waveform;20/03/2012;https://media.rawg.io/media/screenshots/5e9/5e996586e4fe42611462193cafbaa75e.jpg;Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie
PC;way-of-the-hunter;Way of the Hunter;16/08/2022;https://media.rawg.io/media/screenshots/ccd/ccd81afb299b0cbd0feb70bfaa4b678e.jpg;Shooter, Adventure, Simulation, Sports
PlayStation 5;way-of-the-hunter;Way of the Hunter;16/08/2022;https://media.rawg.io/media/screenshots/ccd/ccd81afb299b0cbd0feb70bfaa4b678e.jpg;Shooter, Adventure, Simulation, Sports
Xbox Series S/X;way-of-the-hunter;Way of the Hunter;16/08/2022;https://media.rawg.io/media/screenshots/ccd/ccd81afb299b0cbd0feb70bfaa4b678e.jpg;Shooter, Adventure, Simulation, Sports
PC;wayfinder-3;Wayfinder;;https://media.rawg.io/media/games/065/065b5279c23897e156cb45ba110f9ee3.jpg;Massively Multiplayer, Adventure, Action
PlayStation 5;wayfinder-3;Wayfinder;;https://media.rawg.io/media/games/065/065b5279c23897e156cb45ba110f9ee3.jpg;Massively Multiplayer, Adventure, Action
